text,hate_speech
'Estes são piores do que o burro Paytm',1
RT @hgbotelho_: @_iglira bom dia macaco branco haha,0
"Lailão: Eu apaguei e ganhei muitos looks. Quero engordar e meu peito está frouxo.
Larry: Você é feio
 Larry: Não reclame
Lailão: O que ""
 Lailão: Vá para tnc",1
"@agdabritto Ixi, amiga.. marron.. marromenos.. termino de namoro, foda ne",0
RT @feministinho: Hoje vi uma mulher se afogando no clube. Fiquei apenas de longe incentivando-a para não roubar seu protagonismo. O velóri _,1
@ larissasandy18 Fui fazer luzes e o cu da mulher fez uma merda ... Não vale a pena,1
"@prylliimaa não é caro, você é burro que mulher só serve para limpar a casa e cuidar do bebê.",1
Filhos de pai incógnito quase duplicaram em 2016! Eu já andava desconfiado que há por aqui cada vez mais filhos da put@...,1
@killercookie77 eu vejo sapatao fazendo isso e fico meu amor acho q JA CHEGA DE INTERNET POR HOJE PRA VC https://t.co/PdUGX4MB8Q,1
"meninos que nao conseguem dormir porque a galinha da angola da vizinha nao para de gritar, me add",0
'Tenho total condicao de dar minha opiniao enquanto liberdade de expressao me valer Enfim ',0
"Nada para os negros, mas nada para o uso de desodorante tbne",1
'Saida pela tangente ou tambem comprando casa',0
Mulher idiota é assim...errado é o bofe dela  Burra pra Caralho kkkkkkkkkkkkk https://t.co/rUo11Sgvo8,1
@JuhSavignon que é moita? #nuncafui hehehe,0
Ótima. Com certeza. https://t.co/jG7lptLhLn,0
O @jeanwyllys_real é tão lixo que está acusando o @jairbolsonaro de ser o mandante da exposição da filha da Maria do Rosário,0
"Sem dúvida que os nacionalistas falam a mesma linguagem. Cá como lá,
ao lado das forças da ordem!
@GNRepublicana _ https://t.co/I2517EBwMK",0
@ g1 Destrói politicamente a sociedade. Mulheres estúpidas ficam ofendidas com isso. Tenho orgulho de saber o preço.,1
@fon_sequinha que burra mulher eu levo ele pra vc amanha,1
'Bruno não é uma vaca e ele leva no bolso',1
Para desconcentrar um homem com um decote é necessário ter peitos https://t.co/xAwMiLHb7P,1
RT @ccradical: Descobrimos que o Rui Cruz chora com filmes românticos...  #ccallstars https://t.co/2MgtIbHZSP,0
'Vire-se e eu apontarei meu dedo para o seu',1
RT @AstoonHabbo: Passando Camp Rock para a Disney e só vejo como ela era gorda e feia quando não tinha dinheiro,1
"""Há duas maneiras de ser enganado. Uma é acreditar no que não é verdade; a outra é recusar a acreditar no que é verdade.""
(#Kierkegaard)",0
RT @mvsmotta: Um eleitor do Trump foi agredido por delinquentes de esquerda e outro não. Tente achar o porquê. https://t.co/Lqwhos9WXN,0
a própria culpada pela exposição é a filha da Maria do Rosário que postava fotos com drogas e nudes em seu próprio instagram,0
"`` Tenho nojo do timinho flamengo da fedorenta torcida nordestina que se acham joia carioca quando não passam de um time que tem mais identificação com o Nordeste. É aquele com o rio. Sem água falando o FRAMENGO e com um camisa de camelo Respeito Vasco e Botafogo, sim, quando você fala do Rio de Janeiro, lembra deles Corinthian Saudações '",1
Filtro Branco para Coador Hario V60 - 02... Apenas R$62.00 Acesse https://t.co/94qzFbuWyX #Casa #oferta #desconto _ https://t.co/1MfsVXQSc9,0
RTlucasmcml: Orgulho direto ... Mostrar * w *,1
"@MarleneBicalho É q vc nunca falou comigo Madry, então, fiquei triste quase ligando pro #falaqueeuteescuto pra pedir oração. Agoraestoufeliz",0
To me achando tão feia e gorda que fico feliz que o crush não me chamou pra sair essa semana.,1
'no momento nao esta nem entre os  melhores  mas joga facil',0
"@catracalivre
 1) # SerMulherÉ esteja onde quiser.
 2) Ser feminista é estar onde você dita a agenda da esquerda !!!",1
Dia da Mulher rbrochrdt Não cuidado com os burros,1
não porque o mito diz que mulheres grávidas têm que cobrar menos do que pessoas machistas https://t.co/PQSwnv013j,1
"""De erro em erro, vai-se descobrindo toda a verdade.""
#MulherDeVerdade",0
'Renato voce tem toda a razao temos de acabar e com aquele desgoverno passado tipo populista que ao inves de ensinar a pescar quer dar o peixe e com isso se perpetuar no poder a qualquer custo',0
@CapitalismoOP @JOAQUINVOLTOU @felipeneto @PastorMalafaia  Guaraná Jesus é o melhor!,0
"Owww, esquisita, @aninha_ebc a @RafinhaFarias tá te imitando com tt pala hahaha",0
"... Agora refugiados com uma ideologia e uma cultura totalmente INCOMPATÍVEIS com a nossa, não tem como!",1
Cristãos maltratam gays e mimimi @PastorMalafaia @felipeneto @Estadao @otmar03 @InesBolsonaro @misscaviar _ https://t.co/OmRQhp8bI8,1
Chegou o escravoceta https://t.co/5ywgsZVoE6,0
"RT @inespach30: ""Azul e branco é o coração""  https://t.co/Taf4FHllfE",0
@moniquecastro69 vc fica gostosa até burca ou hábito(não lembro se  assim que escreve a roupa das freira)kkkkkk,1
E os amarelos? E os gordos? E os trans?? Isso é discriminação!! Vamos colocar todos lá dentro!! https://t.co/FHaRPeS0oG,0
'pena qual linha esta na reportagem que devo ter pulado essa',0
"@wondcabeyo ninguém realmente me quer
Eu sou feio, gordo, chato",1
"Lo Globonus ""O bandido deve estar com problemas e acabou !!""",1
A água desta cidade é minha,1
"""Eu sou aquela mulher que fez a escalada da montanha da vida, removendo pedras e plantando flores."" #MulherDeVerdade",0
@Estadao Tem outras teorias tambem.... https://t.co/v8LBub6Gpn,0
"@RenatoBrowne @renataloprete @GloboNews se elas votarem nelas mesmas, talvez ajude https://t.co/A0MTriB5R1",0
eu sabia que as manifestações nao eram contra corrupção mas o que eu queria mesmo era tirar a dilma,0
"Minha mãe queria que eu procurasse uma mulher no Facebook e esta foi a descrição:
Ela é baixa, gorda e tem uma cara muito feia. estou chorando",1
"RT @alerodrigues247: Como ser feminista:
Ser feia e gorda
Pagar peitinho em passeata
Ser peluda
Odiar homens
E achar q isso fará diferença _",1
"Claro que você pode ir para o bm júnior
Onde Maria pensa que você está indo? Parte depois das 7h ?? Quer ser estuprada na rua?",1
RTcsl_silva: Uma mulher estúpida machuca meu braço,1
minha diversão pós trabalho é discutir com fã de #karamel no @youtube e ganhar mais de 100 likes das sapatão.,1
O mundo faft também não é para mim,1
"As pessoas dizem que estou linda grávida, cadê ????? Gente me sinto uma aberração, tanto gordo quanto feio kkkk",1
"Eu não sou gay, mas ...........",1
RTgabie_rochaa: E olhe para o rosto gordo e feio de Isabel ... não sua voz provocante https://t.co/3PfOO1yeRf,1
RT @adrism16: td dia o msm post no ldrv perguntando cade as sapatao,1
RT @FridasUnidas: 8 de março!!! Todas na rua!!! #feminismo #feministas #oitodemarço https://t.co/eLSkoJI7oV,0
Foda-se mulher,1
"passando aqui pela zona oeste e pensando como esses pobres conseguem se enfiar no brt q nem sardinha
prefiro meu 4x4",0
me tirem daqui http://t.co/Ur9Du2bO,0
"#Extra Próxima novela das 9,abordará transgêneros, desde a infância. Lembre-se que a associação Americana de... https://t.co/9cQuI5EmJc",0
"RT @TonhoDrinks: ESSA MULHER É FODA DEMAIS!! ELA DEVERIA SER EXEMPLO PRA TODAS AS. MULHERES NO MUNDO! 
 https://t.co/5Df30ionXx",0
"@GLStecanela Mulher apanha aqui na ilegalidade, porque se pegarem o canalha ele apanha ou vai preso!!!
https://t.co/l0LAduFdXX",1
RT @NAOKAHLO: Junta esse gráfico com a proposta de reforma da previdência e tirem suas conclusões. https://t.co/LOMHLndjHX,0
"RT @pxandreia: Negro, gay, pobre e apoiando o Bolsonaro.
Vocês precisam mudar o discurso pq essa de ""homofóbico, racista"" não cola mais.
# _",0
"@NetMane como diria Trump, Califórnia é  quase México...",0
"@catracalivre
 1) # SerMulherÉ esteja onde quiser.
 2) Ser feminista é estar onde você dita a agenda da esquerda !!!",1
'Agora ela virou Ministra da Seguranca ou nao tem nada pra fazer no STF  ',0
RT @garbengui: @Curate_Angola acho que não é a forma mais adequada para ensinar as crianças sobre este tipo de relacionamento.,0
'Pouco conhecimento da leiatodos sao iguais depois de julgados e condenados exceto militares',0
"Gostaria de dizer que, embora me sinta gorda e feia, não quero ver o rosto de ninguém.",1
"RT @Reehms: DEEM UMA LIDA NISSO, FAZENDO O FAVOR!!!
E item 6, ITEM 6!!!!!! https://t.co/DIr7jXnGwP",0
"Em meio a escândalos de corrupção e nepotismo, o presidente de Angola anunciou que não tentará reeleição em 2017.... https://t.co/MnLXSQS3vg",0
@luisgomestube Fico contente por ser o único da tua lista que ainda está vivo,0
Idiota e a esposa traidora com um texto !!!,1
Tribunal Constitucional alerta para dificuldade em fiscalizar contas dos partidos nas Autárquicas. Os partidos agradecem.,0
"""Jogue o trigo e sente na espiga em ne maria""",1
"Quando há vontade política e se tomam as necessárias medidas, as coisas acontecem!
@realDonaldTrump _ https://t.co/o7NDM53MFV",0
porque eu não posso chamá-lo de PRETO quando ele me chama de BRANCO BRANCO,1
"HOMEM FEMININO:
NÃO DEFENDA A MULHER
CHEIO DE TATUAGI
COGUMELO E PÓ DESLOCADOS
DIVIDINDO MULHERES COM PARCEIROS
DEPRESSIVA
O CHIFRE LEGÍTIMO",1
'Os  do Rio os  de Sao Paulo  do Rio Grande do Sul e  de Minas Gerais   grandes ',0
RT @ cheapo2001: @ bento__9 @aloaloads isso é racismo depois de anos negras vadias gays e simo travessas,1
CBF = Confederação de Bundões do Futebol !,0
"Eu queria sair com uma sem-teto, perguntava ""NA SUA CASA OU NA MINHA?"" então a gente ria e ria e ria e bebia R $ 0,50",1
@estadohiramico feminismo é massa de manobra da esquerda...e nao tem como elas negarem isso..tb nunca vi contra o F _ https://t.co/pq9kfmUEj6,0
RT @JessedosSanto18: @marisa_lobo Gostei do vídeo que você fez sobre a Disney.Você tem todo o meu apoio.Deus te abençoe e te guarde!,0
"homofobia pra cacete pra mimimi o homem que veio matar também era gay, você não viu no jornal ??",1
"O #BlocoEsquerda, ponta-de-lança na cultura de morte, quer agora legalizar a Eutanásia.
Por mim defendo a Vida e sua dignidade.
@EsquerdaNet",0
'Parece que você está peidando na farofa kkkkkkk',1
"Minha mãe acabou com a ideia de foto que eu tinha pensado quando enfiou o lençol Branco não sei onde, mas ela até que ficou legalzinha",0
A @jublackpower é sensacional!,0
"tem que prender esses petista que grita fora temer nos estádios mesmo
vai esquerdar em outro lugar e me deixa ver meu hipismo em paz",0
"não há nada gordo e feio, smp estava lindo, baby —_ https://t.co/j1DnxATjkZ",1
RT @CarlosBolsonaro: Todos aliados armados e o cidadão de bem indefeso. E os canalhas falando em moralidade no desarmamento! Todos da mesma _,0
RT @PqpCarol22: @BalaaTreem E tão sapatão que não sabe oq é pauuuuu,1
"RT rafrasesdegays: Se você não tem um primo, o primo é você mesmo",1
"RT @CapitalismoOP: Feliz dia da mulher em 1 lugar a minha mãe. E tb à @MaBolsonaria , @tatydry , @VitriaO98675664 e todas as mulheres do Tw _",0
Porque a bandidagem continua muito bem armada. https://t.co/51XKeRYFkf,0
"@alexandrekirwan A melhor maneira de ajudar os refugiados é trazer a cultura ocidental para lá, e não o contrário! Eles estão apenas espalhando o problema.",1
Otimistas são pessoas mal informadas.,0
"""Ah, mas esse artista é gordo, é feio. Ele tem muito dinheiro e não melhora""",1
Estava mechendo no baú do meu avô falecido e achei essa foto aqui https://t.co/rhDE3UPdd1,0
'A historia nos ensina A se precaver do futuro A prova A Venezuela ainda estao fazendo vitimas para impor a ideologia genocida',0
Já sou fã dessa mulher que cozinha na telha #MasterchefBR,0
"Triste verdade que tantos teimam em não querer ver.
Quanto mais tarde se reverter a situação, mais difícil será. _ https://t.co/Qsfabbywwj",0
RT @TourMicao: como sapatao vao domina o mundo https://t.co/gWVPCBohC6,1
Q viaduto do amor. Ela estava comendo sua bunda https://t.co/bBhrnSMJ6E,1
"@homemdeverdade não tem namorado, tem mulher provisória.",1
'Raposao politico de profissao  ta no fim da carreira e o Piaui o adora  Eh boca mole eheheh',1
Só sofrendo na pele de cobra deles que essa turma vai sentir o real socialismo/comunismo. Não é nada disso que tem na cabeça de anta deles.,1
"“Não sou ateu, sou agrário”
Grande arame para camisa, não incluído no JESUS ​​de NAZARETH para meus dedos dos pés # PPA",1
bom bandido é bandido destruído por dinossauros,1
"@coebravo foda quando ela não está lá, idiota gorda e feia",1
@OAngelo82 @odedonafrida Ia puxar do emoji do cão triste. Não foi preciso,0
RT @seqrsfalarchupa: SDDS dos jogos de futebol de verão fufas Sporting x fufas benfica lmao,1
'Demorou so digo isso ',0
"RT @vitormramalho: Assim não, Dra. Francisca Van Dunem! https://t.co/WObUxRMB7h",0
entre crivella e freixo eu prefiro o bolsonitro,0
"@MarleneBicalho Vc é gente, cara! rsrs, brigada lindona desastrada do meu S2",0
Mano q mulher inteligente da porra eu tô me sentindo burra,1
'No fim vamos ficar com os que ja estao ai',0
na vdd a culpa é do menino de 11 anos otário que me chamava de burra/gorda/feia todo santo dia quando eu tava na quinta série mas ¯\_()_/¯,1
'Vá para o tanque Sra. Sonia',1
É pra isso que eu pago imposto! https://t.co/aapkuUZyGQ,0
"Bura é a mulher que, antes uma prioridade, aceita ser a segunda opção.",1
nao deu pra carregar meu passe pq a mulher do setuf eh uma burra,1
"@gabrielaltairc vc n entendeu que eu falei nao? refugiados nao vem pro brasil, é mt longe",0
"Gorda, feia, e ogra https://t.co/A6cJRIE3WQ",1
"Existem várias formas de noticiar um mesmo assunto. Infelizmente, alguns escolhem e pior. Felizmente, outros não. https://t.co/gKjEYzrsDb",0
"@leoovini sapatão com jogo tá quase igual hetero, o raca ein",1
E vc aí franguinha dessossada que só reclama da vida! Para de chorar porra.,1
"#JesusEstáVoltando as profecias se cumprindo: gente querendo dominar o mundo pra trazer ""paz"" através de socialismo, islão dominando etc",0
Em que seus canhotos vão gastar capital hoje?,1
Não tinha reparado com aquela menina é gata,0
@editorahumanas @MBLivre É ESSE CACHORRO AQUI https://t.co/THHVv4Rh5h,0
A ideologia de gênero atingiu o auge da insanidade. Qual é o seu gênero? ALIENÍGENA..OQ ... https://t.co/FGLJ5hbm68,1
"@KetsiaSousa meus filhos, vou aprender sobre beleza e longevidade não para animais fofos e selvagens, para crianças quando for a hora de aprenderem ...",1
Sempre que vejo um homem com bigode interrogo-me que aposta terá aquele desgraçado perdido,0
"Sócrates processa o Estado português. Mas, para provar a sua inocência, irá doar a indemnização recebida para abater na dívida pública.",0
